Modelo	Almacenamiento	PrecioB2B	PrecioB2C	Tipo	Pantalla	Año	Procesador
Mac Studio (2022) A2615 M1 Max 10 Core CPU 24 Core GPU	512GB	530		Mac Studio		2022	M1 Max
Mac Pro (2023) A2786 M2 Ultra 24 Core CPU 76 Core GPU	8TB	3200		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2787 M2 Ultra 24 Core CPU 76 Core GPU	8TB	3200		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2786 M2 Ultra 24 Core CPU 76 Core GPU	4TB	2930		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2787 M2 Ultra 24 Core CPU 76 Core GPU	4TB	2930		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2786 M2 Ultra 24 Core CPU 76 Core GPU	2TB	2700		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2787 M2 Ultra 24 Core CPU 76 Core GPU	2TB	2700		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2786 M2 Ultra 24 Core CPU 60 Core GPU	8TB	2690		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2787 M2 Ultra 24 Core CPU 60 Core GPU	8TB	2690		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2786 M2 Ultra 24 Core CPU 60 Core GPU	4TB	2350		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2787 M2 Ultra 24 Core CPU 60 Core GPU	4TB	2350		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2786 M2 Ultra 24 Core CPU 76 Core GPU	1TB	2350		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2787 M2 Ultra 24 Core CPU 76 Core GPU	1TB	2350		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2786 M2 Ultra 24 Core CPU 60 Core GPU	2TB	1955		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2787 M2 Ultra 24 Core CPU 60 Core GPU	2TB	1955		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2786 M2 Ultra 24 Core CPU 60 Core GPU	1TB	1820		Mac Pro		2023	M2 Ultra
Mac Pro (2023) A2787 M2 Ultra 24 Core CPU 60 Core GPU	1TB	1820		Mac Pro		2023	M2 Ultra
Mac Pro (2019) A1991 Intel Xeon W 12 Core 3.3	8TB	590		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 12 Core 3.3	8TB	590		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 16 Core 3.2	8TB	590		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 16 Core 3.2	8TB	590		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 24 Core 2.7	8TB	590		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 24 Core 2.7	8TB	590		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 28 Core 2.5	8TB	590		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 28 Core 2.5	8TB	590		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 8 Core 3.5	8TB	590		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 8 Core 3.5	8TB	590		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 12 Core 3.3	4TB	555		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 12 Core 3.3	4TB	555		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 16 Core 3.2	4TB	555		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 16 Core 3.2	4TB	555		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 24 Core 2.7	4TB	555		Mac Pro		2019	
Mac Pro (2019) A2304 Intel Xeon W 24 Core 2.7	4TB	555		Mac Pro		2019	
Mac Pro (2019) A1991 Intel Xeon W 28 Core 2.5	4TB	555		Mac Pro		2019	
